"Plot Title: 21258495"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 21258495, SEN S/N: 21258495)","Intensity, lum/ft² (LGR S/N: 21258495, SEN S/N: 21258495)"
1,05/20/25 09:00:00 AM,17.284,17.0
2,05/20/25 09:15:00 AM,18.521,10.0
3,05/20/25 09:30:00 AM,18.616,8.0
4,05/20/25 09:45:00 AM,16.618,1.0
5,05/20/25 10:00:00 AM,23.292,2432.0
6,05/20/25 10:15:00 AM,25.222,2176.0
7,05/20/25 10:30:00 AM,10.553,288.0
8,05/20/25 10:45:00 AM,10.259,1792.0
9,05/20/25 11:00:00 AM,10.259,1280.0
10,05/20/25 11:15:00 AM,10.357,1152.0
11,05/20/25 11:30:00 AM,10.455,1664.0
12,05/20/25 11:45:00 AM,10.455,1344.0
13,05/20/25 12:00:00 PM,10.455,1344.0
14,05/20/25 12:15:00 PM,10.553,1472.0
15,05/20/25 12:30:00 PM,10.553,1536.0
16,05/20/25 12:45:00 PM,10.455,1088.0
17,05/20/25 01:00:00 PM,10.259,768.0
18,05/20/25 01:15:00 PM,9.965,704.0
19,05/20/25 01:30:00 PM,9.965,768.0
20,05/20/25 01:45:00 PM,9.965,512.0
21,05/20/25 02:00:00 PM,9.866,368.0
22,05/20/25 02:15:00 PM,9.866,352.0
23,05/20/25 02:30:00 PM,9.866,448.0
24,05/20/25 02:45:00 PM,9.866,400.0
25,05/20/25 03:00:00 PM,9.866,320.0
26,05/20/25 03:15:00 PM,9.866,336.0
27,05/20/25 03:30:00 PM,9.768,272.0
28,05/20/25 03:45:00 PM,9.768,248.0
29,05/20/25 04:00:00 PM,9.768,216.0
30,05/20/25 04:15:00 PM,9.768,232.0
31,05/20/25 04:30:00 PM,9.866,176.0
32,05/20/25 04:45:00 PM,9.866,117.0
33,05/20/25 05:00:00 PM,9.866,124.0
34,05/20/25 05:15:00 PM,9.965,107.0
35,05/20/25 05:30:00 PM,10.063,115.0
36,05/20/25 05:45:00 PM,10.063,123.0
37,05/20/25 06:00:00 PM,10.063,93.0
38,05/20/25 06:15:00 PM,10.063,67.0
39,05/20/25 06:30:00 PM,10.063,73.0
40,05/20/25 06:45:00 PM,10.063,42.0
41,05/20/25 07:00:00 PM,10.063,33.0
42,05/20/25 07:15:00 PM,10.063,32.0
43,05/20/25 07:30:00 PM,10.161,11.0
44,05/20/25 07:45:00 PM,10.161,5.0
45,05/20/25 08:00:00 PM,10.161,1.0
46,05/20/25 08:15:00 PM,10.161,0.0
47,05/20/25 08:30:00 PM,10.161,0.0
48,05/20/25 08:45:00 PM,10.161,0.0
49,05/20/25 09:00:00 PM,10.161,0.0
50,05/20/25 09:15:00 PM,10.259,0.0
51,05/20/25 09:30:00 PM,10.161,0.0
52,05/20/25 09:45:00 PM,10.161,0.0
53,05/20/25 10:00:00 PM,10.161,0.0
54,05/20/25 10:15:00 PM,10.161,0.0
55,05/20/25 10:30:00 PM,10.259,0.0
56,05/20/25 10:45:00 PM,10.259,0.0
57,05/20/25 11:00:00 PM,10.259,0.0
58,05/20/25 11:15:00 PM,10.259,0.0
59,05/20/25 11:30:00 PM,10.161,0.0
60,05/20/25 11:45:00 PM,10.259,0.0
61,05/21/25 12:00:00 AM,10.259,0.0
62,05/21/25 12:15:00 AM,10.259,0.0
63,05/21/25 12:30:00 AM,10.259,0.0
64,05/21/25 12:45:00 AM,10.259,0.0
65,05/21/25 01:00:00 AM,10.259,0.0
66,05/21/25 01:15:00 AM,10.357,0.0
67,05/21/25 01:30:00 AM,10.357,0.0
68,05/21/25 01:45:00 AM,10.357,0.0
69,05/21/25 02:00:00 AM,10.357,0.0
70,05/21/25 02:15:00 AM,10.357,0.0
71,05/21/25 02:30:00 AM,10.357,0.0
72,05/21/25 02:45:00 AM,10.357,0.0
73,05/21/25 03:00:00 AM,10.357,0.0
74,05/21/25 03:15:00 AM,10.259,0.0
75,05/21/25 03:30:00 AM,10.259,0.0
76,05/21/25 03:45:00 AM,10.259,0.0
77,05/21/25 04:00:00 AM,10.259,0.0
78,05/21/25 04:15:00 AM,10.259,0.0
79,05/21/25 04:30:00 AM,10.259,0.0
80,05/21/25 04:45:00 AM,10.259,0.0
81,05/21/25 05:00:00 AM,10.259,0.0
82,05/21/25 05:15:00 AM,10.259,2.0
83,05/21/25 05:30:00 AM,10.259,12.0
84,05/21/25 05:45:00 AM,10.259,27.0
85,05/21/25 06:00:00 AM,10.259,10.0
86,05/21/25 06:15:00 AM,10.259,13.0
87,05/21/25 06:30:00 AM,10.259,21.0
88,05/21/25 06:45:00 AM,10.259,27.0
89,05/21/25 07:00:00 AM,10.161,34.0
90,05/21/25 07:15:00 AM,10.161,48.0
91,05/21/25 07:30:00 AM,10.161,70.0
92,05/21/25 07:45:00 AM,10.259,98.0
93,05/21/25 08:00:00 AM,10.259,110.0
94,05/21/25 08:15:00 AM,10.259,124.0
95,05/21/25 08:30:00 AM,10.259,160.0
96,05/21/25 08:45:00 AM,10.259,200.0
97,05/21/25 09:00:00 AM,10.259,288.0
98,05/21/25 09:15:00 AM,10.259,416.0
99,05/21/25 09:30:00 AM,10.259,480.0
100,05/21/25 09:45:00 AM,10.357,512.0
101,05/21/25 10:00:00 AM,10.259,480.0
102,05/21/25 10:15:00 AM,10.259,464.0
103,05/21/25 10:30:00 AM,10.357,768.0
104,05/21/25 10:45:00 AM,10.357,704.0
105,05/21/25 11:00:00 AM,10.455,800.0
106,05/21/25 11:15:00 AM,10.357,608.0
107,05/21/25 11:30:00 AM,10.259,384.0
108,05/21/25 11:45:00 AM,10.357,384.0
109,05/21/25 12:00:00 PM,10.357,448.0
110,05/21/25 12:15:00 PM,10.455,672.0
111,05/21/25 12:30:00 PM,10.553,1152.0
112,05/21/25 12:45:00 PM,10.455,576.0
113,05/21/25 01:00:00 PM,10.553,672.0
114,05/21/25 01:15:00 PM,10.455,448.0
115,05/21/25 01:30:00 PM,10.357,400.0
116,05/21/25 01:45:00 PM,10.357,352.0
117,05/21/25 02:00:00 PM,10.259,464.0
118,05/21/25 02:15:00 PM,10.259,672.0
119,05/21/25 02:30:00 PM,10.259,480.0
120,05/21/25 02:45:00 PM,10.259,384.0
121,05/21/25 03:00:00 PM,10.161,232.0
122,05/21/25 03:15:00 PM,10.161,352.0
123,05/21/25 03:30:00 PM,10.161,400.0
124,05/21/25 03:45:00 PM,10.161,416.0
